tournament,city,country,date,tournament_type,discipline,round,winner,nb_sets,retired,game_1_score,game_2_score,game_3_score,team_one_player_one,team_one_player_two,team_two_player_one,team_two_player_two,team_one_player_one_nationality,team_one_player_two_nationality,team_two_player_one_nationality,team_two_player_two_nationality,team_one_total_points,team_two_total_points,team_one_most_consecutive_points,team_two_most_consecutive_points,team_one_game_points,team_two_game_points,team_one_most_consecutive_points_game_1,team_two_most_consecutive_points_game_1,team_one_game_points_game_1,team_two_game_points_game_1,game_1_scores,team_one_most_consecutive_points_game_2,team_two_most_consecutive_points_game_2,team_one_game_points_game_2,team_two_game_points_game_2,game_2_scores,team_one_most_consecutive_points_game_3,team_two_most_consecutive_points_game_3,team_one_game_points_game_3,team_two_game_points_game_3,game_3_scores
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,MD,Qualification quarter final,1,3,False,21-11,15-21,21-9,Wai Lun Ho,Chun Hei Tam,Parinyawat Thongnuam,Parinyawat Thongnuam,HKG,HKG,THA,THA,57,41,8,3,2,1,8,3,1,0,"['0-0', '1-0', '1-1', '1-2', '1-3', '2-3', '3-3', '4-3', '4-4', '5-4', '6-4', '7-4', '8-4', '9-4', '10-4', '11-4', '12-4', '12-5', '12-6', '13-6', '14-6', '14-7', '14-8', '15-8', '15-9', '16-9', '16-10', '17-10', '17-11', '18-11', '19-11', '20-11', '21-11']",2.0,3.0,0.0,1.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '2-5', '2-6', '3-6', '3-7', '4-7', '5-7', '5-8', '6-8', '6-9', '7-9', '8-9', '8-10', '8-11', '8-12', '9-12', '9-13', '9-14', '10-14', '10-15', '11-15', '12-15', '12-16', '12-17', '13-17', '13-18', '14-18', '15-18', '15-19', '15-20', '15-21']",7.0,3.0,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '6-4', '7-4', '7-5', '8-5', '9-5', '9-6', '9-7', '9-8', '10-8', '11-8', '12-8', '13-8', '14-8', '14-9', '15-9', '16-9', '17-9', '18-9', '19-9', '20-9', '21-9']"
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,MD,Qualification quarter final,1,2,False,23-21,21-18,,Rizky Kurniawan,Komandani Maytri Sugiarto,Tanawat Topattanakul,Tanawat Topattanakul,INA,INA,THA,THA,44,39,7,4,7,1,4,4,3,1,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '4-2', '5-2', '6-2', '6-3', '7-3', '7-4', '8-4', '8-5', '9-5', '9-6', '10-6', '10-7', '11-7', '12-7', '12-8', '13-8', '13-9', '13-10', '14-10', '14-11', '14-12', '14-13', '14-14', '15-14', '15-15', '16-15', '16-16', '17-16', '18-16', '19-16', '19-17', '19-18', '20-18', '20-19', '20-20', '20-21', '21-21', '22-21', '23-21']",7.0,3.0,4.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '3-5', '3-6', '4-6', '5-6', '5-7', '6-7', '6-8', '6-9', '7-9', '8-9', '9-9', '10-9', '11-9', '12-9', '13-9', '13-10', '14-10', '15-10', '16-10', '17-10', '17-11', '18-11', '18-12', '19-12', '19-13', '19-14', '19-15', '20-15', '20-16', '20-17', '20-18', '21-18']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,MD,Qualification quarter final,2,3,False,21-13,22-24,19-21,Danny Bawa Chrisnanta,Yong Kai Terry Hee,Arkornnit Thaptimdong,Arkornnit Thaptimdong,SGP,SGP,THA,THA,62,58,8,6,3,4,8,3,1,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '2-4', '3-4', '4-4', '4-5', '4-6', '4-7', '5-7', '6-7', '7-7', '8-7', '9-7', '10-7', '11-7', '12-7', '12-8', '12-9', '13-9', '13-10', '14-10', '15-10', '16-10', '16-11', '17-11', '17-12', '17-13', '18-13', '19-13', '20-13', '21-13']",3.0,3.0,2.0,3.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '2-3', '2-4', '3-4', '4-4', '5-4', '5-5', '5-6', '5-7', '6-7', '7-7', '8-7', '8-8', '9-8', '10-8', '11-8', '11-9', '12-9', '13-9', '13-10', '14-10', '14-11', '14-12', '15-12', '15-13', '16-13', '16-14', '16-15', '17-15', '17-16', '18-16', '19-16', '19-17', '19-18', '20-18', '20-19', '20-20', '20-21', '21-21', '21-22', '22-22', '22-23', '22-24']",3.0,6.0,0.0,1.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '7-3', '7-4', '8-4', '9-4', '9-5', '9-6', '10-6', '10-7', '11-7', '11-8', '11-9', '11-10', '11-11', '11-12', '11-13', '12-13', '13-13', '14-13', '14-14', '15-14', '15-15', '15-16', '16-16', '16-17', '17-17', '17-18', '18-18', '19-18', '19-19', '19-20', '19-21']"
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,MD,Qualification quarter final,2,2,False,12-21,16-21,,Hari Kiran Chereddi,Ajay Kumar K.,Weeraphat Phakjarung,Weeraphat Phakjarung,IND,IND,THA,THA,28,42,4,5,0,5,4,4,0,2,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '2-4', '2-5', '2-6', '2-7', '2-8', '3-8', '3-9', '3-10', '3-11', '4-11', '4-12', '5-12', '5-13', '6-13', '6-14', '6-15', '6-16', '7-16', '7-17', '7-18', '7-19', '8-19', '9-19', '10-19', '11-19', '11-20', '12-20', '12-21']",3.0,5.0,0.0,3.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '3-5', '3-6', '3-7', '4-7', '4-8', '5-8', '5-9', '6-9', '7-9', '7-10', '8-10', '8-11', '9-11', '9-12', '10-12', '10-13', '10-14', '11-14', '12-14', '13-14', '13-15', '13-16', '13-17', '13-18', '13-19', '14-19', '14-20', '15-20', '16-20', '16-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,MD,Round of 32,1,3,False,21-12,14-21,21-16,Berry Angriawan,Hardianto Hardianto,Tak Ching Chang,Tak Ching Chang,INA,INA,HKG,HKG,56,49,4,4,5,2,4,3,3,0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '7-3', '7-4', '7-5', '7-6', '8-6', '9-6', '10-6', '11-6', '11-7', '12-7', '13-7', '13-8', '14-8', '14-9', '15-9', '16-9', '17-9', '18-9', '18-10', '19-10', '20-10', '20-11', '20-12', '21-12']",3.0,4.0,0.0,2.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '2-5', '2-6', '3-6', '4-6', '5-6', '5-7', '5-8', '5-9', '6-9', '6-10', '6-11', '7-11', '8-11', '9-11', '9-12', '10-12', '11-12', '11-13', '11-14', '11-15', '11-16', '12-16', '12-17', '12-18', '12-19', '13-19', '13-20', '14-20', '14-21']",4.0,2.0,2.0,0.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '3-5', '4-5', '4-6', '5-6', '6-6', '6-7', '7-7', '8-7', '8-8', '9-8', '10-8', '10-9', '11-9', '11-10', '12-10', '12-11', '13-11', '13-12', '14-12', '14-13', '15-13', '16-13', '17-13', '18-13', '18-14', '19-14', '19-15', '20-15', '20-16', '21-16']"
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,MD,Round of 32,1,2,False,21-19,21-19,,Inkarat Apisuk,Tanupat Viriyangkura,Anilkumar Raju M.,Anilkumar Raju M.,THA,THA,IND,IND,42,38,5,5,2,0,5,5,1,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '4-2', '5-2', '6-2', '6-3', '7-3', '7-4', '8-4', '9-4', '9-5', '9-6', '9-7', '10-7', '11-7', '11-8', '11-9', '12-9', '12-10', '13-10', '14-10', '14-11', '14-12', '14-13', '14-14', '14-15', '15-15', '16-15', '17-15', '18-15', '19-15', '19-16', '19-17', '19-18', '19-19', '20-19', '21-19']",4.0,3.0,1.0,0.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '5-5', '5-6', '5-7', '5-8', '6-8', '7-8', '8-8', '8-9', '9-9', '10-9', '11-9', '12-9', '12-10', '13-10', '13-11', '13-12', '14-12', '15-12', '16-12', '16-13', '17-13', '17-14', '18-14', '18-15', '18-16', '18-17', '19-17', '19-18', '19-19', '20-19', '21-19']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,MD,Round of 32,1,2,False,21-7,21-18,,Yew Sin Ong,Ee Yi Teo,Bastian Kersaudy,Bastian Kersaudy,MAS,MAS,FRA,FRA,42,25,8,3,3,0,7,2,1,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '4-2', '5-2', '5-3', '6-3', '7-3', '8-3', '9-3', '10-3', '10-4', '11-4', '12-4', '13-4', '13-5', '14-5', '14-6', '14-7', '15-7', '16-7', '17-7', '18-7', '19-7', '20-7', '21-7']",4.0,3.0,2.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '4-4', '4-5', '5-5', '6-5', '6-6', '7-6', '7-7', '8-7', '9-7', '10-7', '11-7', '11-8', '12-8', '12-9', '12-10', '13-10', '14-10', '14-11', '15-11', '15-12', '15-13', '16-13', '17-13', '17-14', '18-14', '18-15', '19-15', '19-16', '19-17', '20-17', '20-18', '21-18']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,MD,Round of 32,2,3,False,13-21,21-17,17-21,Wai Lun Ho,Chun Hei Tam,Matthew Chau,Matthew Chau,HKG,HKG,AUS,AUS,51,59,5,5,1,2,4,4,0,1,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '2-4', '2-5', '2-6', '3-6', '3-7', '3-8', '3-9', '3-10', '4-10', '4-11', '5-11', '5-12', '6-12', '6-13', '7-13', '7-14', '7-15', '7-16', '8-16', '8-17', '9-17', '10-17', '11-17', '12-17', '12-18', '13-18', '13-19', '13-20', '13-21']",5.0,3.0,1.0,0.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '5-2', '5-3', '6-3', '6-4', '7-4', '7-5', '8-5', '8-6', '8-7', '9-7', '9-8', '9-9', '9-10', '10-10', '10-11', '11-11', '12-11', '13-11', '14-11', '15-11', '15-12', '16-12', '17-12', '17-13', '17-14', '17-15', '18-15', '18-16', '18-17', '19-17', '20-17', '21-17']",5.0,5.0,0.0,1.0,"['0-0', '1-0', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '3-5', '4-5', '5-5', '6-5', '7-5', '8-5', '8-6', '8-7', '8-8', '8-9', '8-10', '9-10', '9-11', '9-12', '9-13', '10-13', '10-14', '11-14', '12-14', '12-15', '13-15', '13-16', '14-16', '15-16', '15-17', '15-18', '16-18', '16-19', '17-19', '17-20', '17-21']"
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,MD,Round of 32,1,2,False,21-15,25-23,,Wahyu Nayaka Arya Pangkaryanira,Ade Yusuf Santoso,Chaloempon Charoenkitamorn,Chaloempon Charoenkitamorn,INA,INA,THA,THA,46,38,4,5,5,1,4,2,1,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '6-6', '6-7', '6-8', '7-8', '8-8', '8-9', '8-10', '9-10', '9-11', '10-11', '10-12', '11-12', '12-12', '13-12', '14-12', '14-13', '15-13', '15-14', '16-14', '17-14', '18-14', '18-15', '19-15', '20-15', '21-15']",4.0,5.0,4.0,1.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '4-3', '4-4', '4-5', '5-5', '6-5', '7-5', '8-5', '8-6', '8-7', '9-7', '9-8', '9-9', '9-10', '9-11', '9-12', '10-12', '10-13', '10-14', '11-14', '12-14', '12-15', '13-15', '14-15', '15-15', '15-16', '16-16', '17-16', '18-16', '18-17', '18-18', '18-19', '19-19', '19-20', '20-20', '21-20', '21-21', '22-21', '22-22', '23-22', '23-23', '24-23', '25-23']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,MD,Round of 32,2,2,False,9-21,10-21,,Maftuki Muhammad,Yohanes Timothy Yacob Rambitan,Richard Eidestedt,Richard Eidestedt,INA,INA,SWE,SWE,19,42,2,7,0,2,2,7,0,1,"['0-0', '1-0', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '4-4', '4-5', '4-6', '5-6', '5-7', '5-8', '5-9', '5-10', '5-11', '5-12', '5-13', '6-13', '6-14', '6-15', '6-16', '6-17', '6-18', '7-18', '8-18', '8-19', '9-19', '9-20', '9-21']",2.0,4.0,0.0,1.0,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '2-4', '2-5', '2-6', '3-6', '3-7', '3-8', '3-9', '4-9', '4-10', '4-11', '4-12', '4-13', '5-13', '6-13', '6-14', '6-15', '6-16', '7-16', '7-17', '8-17', '8-18', '9-18', '9-19', '10-19', '10-20', '10-21']",,,,,[]
