tournament,city,country,date,tournament_type,discipline,round,winner,nb_sets,retired,game_1_score,game_2_score,game_3_score,team_one_player_one,team_one_player_two,team_two_player_one,team_two_player_two,team_one_player_one_nationality,team_one_player_two_nationality,team_two_player_one_nationality,team_two_player_two_nationality,team_one_total_points,team_two_total_points,team_one_most_consecutive_points,team_two_most_consecutive_points,team_one_game_points,team_two_game_points,team_one_most_consecutive_points_game_1,team_two_most_consecutive_points_game_1,team_one_game_points_game_1,team_two_game_points_game_1,game_1_scores,team_one_most_consecutive_points_game_2,team_two_most_consecutive_points_game_2,team_one_game_points_game_2,team_two_game_points_game_2,game_2_scores,team_one_most_consecutive_points_game_3,team_two_most_consecutive_points_game_3,team_one_game_points_game_3,team_two_game_points_game_3,game_3_scores
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,WD,Qualification quarter final,2,3,False,18-21,21-16,18-21,Sararat Chueboca,Suphapich Silprakob,Ploynaputh Anandechjurakun,Ploynaputh Anandechjurakun,THA,THA,THA,THA,57,58,6,5,3,4,3,3,0,1,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '2-4', '2-5', '2-6', '3-6', '3-7', '4-7', '5-7', '5-8', '6-8', '7-8', '7-9', '7-10', '8-10', '9-10', '9-11', '10-11', '10-12', '11-12', '12-12', '13-12', '13-13', '14-13', '14-14', '14-15', '15-15', '16-15', '16-16', '16-17', '16-18', '17-18', '17-19', '18-19', '18-20', '18-21']",3.0,3.0,3.0,0.0,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '2-4', '3-4', '4-4', '4-5', '5-5', '5-6', '6-6', '6-7', '7-7', '7-8', '8-8', '9-8', '9-9', '10-9', '10-10', '11-10', '11-11', '12-11', '13-11', '14-11', '14-12', '14-13', '15-13', '16-13', '17-13', '17-14', '18-14', '19-14', '20-14', '20-15', '20-16', '21-16']",6.0,5.0,0.0,3.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '1-5', '2-5', '3-5', '4-5', '5-5', '6-5', '6-6', '7-6', '7-7', '7-8', '8-8', '8-9', '8-10', '8-11', '8-12', '9-12', '10-12', '10-13', '11-13', '11-14', '11-15', '11-16', '11-17', '12-17', '12-18', '13-18', '13-19', '14-19', '15-19', '16-19', '16-20', '17-20', '18-20', '18-21']"
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,WD,Qualification quarter final,2,2,False,18-21,20-22,,Kunjira Khongdee,Nichakarn Kwandaeng,Chonnicha Charoenwat,Chonnicha Charoenwat,THA,THA,THA,THA,38,43,4,5,0,8,4,5,0,5,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '1-5', '2-5', '2-6', '3-6', '3-7', '4-7', '5-7', '5-8', '5-9', '6-9', '7-9', '8-9', '8-10', '8-11', '9-11', '9-12', '10-12', '11-12', '11-13', '11-14', '11-15', '11-16', '12-16', '13-16', '13-17', '13-18', '13-19', '14-19', '14-20', '15-20', '16-20', '17-20', '18-20', '18-21']",3.0,4.0,0.0,3.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '5-4', '6-4', '6-5', '7-5', '7-6', '8-6', '8-7', '9-7', '9-8', '9-9', '9-10', '9-11', '10-11', '10-12', '11-12', '11-13', '12-13', '12-14', '13-14', '13-15', '14-15', '15-15', '15-16', '15-17', '15-18', '16-18', '17-18', '17-19', '18-19', '18-20', '19-20', '20-20', '20-21', '20-22']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,WD,Qualification quarter final,2,2,False,11-21,7-21,,Phakhawadi Sukjai,Runshida Sukjai,Thidarat Kleebyeesoon,Thidarat Kleebyeesoon,THA,THA,THA,THA,18,42,3,7,0,2,3,7,0,1,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '2-4', '2-5', '2-6', '2-7', '2-8', '3-8', '4-8', '5-8', '5-9', '5-10', '5-11', '6-11', '7-11', '7-12', '7-13', '7-14', '7-15', '7-16', '7-17', '8-17', '9-17', '9-18', '10-18', '10-19', '11-19', '11-20', '11-21']",2.0,6.0,0.0,1.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '1-6', '1-7', '1-8', '2-8', '2-9', '3-9', '4-9', '4-10', '5-10', '5-11', '5-12', '6-12', '6-13', '6-14', '6-15', '6-16', '7-16', '7-17', '7-18', '7-19', '7-20', '7-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,WD,Qualification quarter final,1,3,False,12-21,22-20,21-17,Manassiri Bowonwitthanakul,Suangsupa Suppasang,Maytinee Kunaanuvit,Maytinee Kunaanuvit,THA,THA,THA,THA,55,58,5,5,4,2,3,5,0,2,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '2-5', '2-6', '2-7', '3-7', '4-7', '5-7', '5-8', '6-8', '6-9', '6-10', '6-11', '6-12', '7-12', '7-13', '7-14', '8-14', '9-14', '9-15', '9-16', '10-16', '10-17', '11-17', '11-18', '11-19', '11-20', '12-20', '12-21']",4.0,4.0,2.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '3-5', '3-6', '4-6', '5-6', '6-6', '6-7', '6-8', '6-9', '7-9', '7-10', '7-11', '8-11', '9-11', '10-11', '10-12', '10-13', '10-14', '11-14', '11-15', '11-16', '12-16', '13-16', '14-16', '15-16', '15-17', '16-17', '17-17', '18-17', '18-18', '19-18', '19-19', '20-19', '20-20', '21-20', '22-20']",5.0,3.0,2.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '3-3', '3-4', '4-4', '4-5', '4-6', '5-6', '6-6', '7-6', '8-6', '8-7', '8-8', '9-8', '9-9', '9-10', '9-11', '10-11', '11-11', '12-11', '13-11', '14-11', '14-12', '14-13', '15-13', '15-14', '16-14', '16-15', '17-15', '18-15', '18-16', '19-16', '20-16', '20-17', '21-17']"
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,1,2,False,21-11,21-12,,Jongkolphan Kititharakul,Rawinda Prajongjai,Chonnicha Charoenwat,Chonnicha Charoenwat,THA,THA,THA,THA,42,23,12,3,4,0,12,2,3,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '10-3', '11-3', '12-3', '13-3', '14-3', '14-4', '15-4', '15-5', '15-6', '16-6', '17-6', '17-7', '17-8', '18-8', '18-9', '19-9', '20-9', '20-10', '20-11', '21-11']",4.0,3.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '4-2', '5-2', '6-2', '7-2', '8-2', '8-3', '9-3', '10-3', '10-4', '11-4', '12-4', '13-4', '13-5', '14-5', '15-5', '16-5', '16-6', '16-7', '16-8', '17-8', '17-9', '18-9', '18-10', '18-11', '18-12', '19-12', '20-12', '21-12']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,1,2,False,21-14,21-9,,Della Destiara Haris,Rizki Amelia Pradipta,Suchanya Kanchanasaka,Suchanya Kanchanasaka,INA,INA,THA,THA,42,23,7,4,2,0,3,2,1,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '5-3', '5-4', '6-4', '7-4', '7-5', '7-6', '8-6', '8-7', '9-7', '9-8', '10-8', '11-8', '11-9', '11-10', '12-10', '13-10', '13-11', '14-11', '15-11', '16-11', '16-12', '17-12', '18-12', '19-12', '19-13', '19-14', '20-14', '21-14']",7.0,4.0,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '5-1', '5-2', '6-2', '7-2', '7-3', '7-4', '8-4', '9-4', '10-4', '11-4', '12-4', '12-5', '13-5', '14-5', '14-6', '14-7', '14-8', '14-9', '15-9', '16-9', '17-9', '18-9', '19-9', '20-9', '21-9']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,2,2,False,20-22,18-21,,Amanda Hogstrom,Clara Nistad,Ruethaichanok Laisuan,Ruethaichanok Laisuan,SWE,SWE,THA,THA,38,43,5,6,0,5,3,5,0,3,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '5-3', '6-3', '6-4', '7-4', '8-4', '9-4', '9-5', '10-5', '10-6', '10-7', '10-8', '10-9', '11-9', '11-10', '12-10', '13-10', '13-11', '14-11', '14-12', '14-13', '14-14', '14-15', '14-16', '15-16', '16-16', '16-17', '16-18', '16-19', '17-19', '18-19', '18-20', '19-20', '20-20', '20-21', '20-22']",5.0,4.0,0.0,2.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '1-4', '1-5', '2-5', '2-6', '3-6', '4-6', '4-7', '5-7', '5-8', '5-9', '6-9', '7-9', '7-10', '8-10', '9-10', '10-10', '11-10', '12-10', '12-11', '13-11', '13-12', '14-12', '15-12', '15-13', '15-14', '15-15', '15-16', '16-16', '16-17', '16-18', '17-18', '17-19', '17-20', '18-20', '18-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,2,2,False,12-21,13-21,,Manassiri Bowonwitthanakul,Suangsupa Suppasang,Kittipak Dubthuk,Kittipak Dubthuk,THA,THA,THA,THA,25,42,3,5,0,6,3,4,0,3,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '1-5', '1-6', '1-7', '2-7', '2-8', '2-9', '2-10', '3-10', '3-11', '4-11', '4-12', '4-13', '4-14', '5-14', '5-15', '5-16', '5-17', '6-17', '7-17', '7-18', '7-19', '8-19', '9-19', '10-19', '10-20', '11-20', '12-20', '12-21']",3.0,5.0,0.0,3.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '3-3', '3-4', '3-5', '3-6', '3-7', '3-8', '4-8', '4-9', '4-10', '4-11', '4-12', '4-13', '5-13', '5-14', '6-14', '7-14', '7-15', '7-16', '7-17', '8-17', '8-18', '8-19', '9-19', '10-19', '11-19', '11-20', '12-20', '13-20', '13-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,1,2,False,21-10,21-12,,Mei Kuan Chow,Meng Yean Lee,Lok Yan Poon,Lok Yan Poon,MAS,MAS,HKG,HKG,42,22,6,3,2,0,5,2,1,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '5-1', '5-2', '6-2', '6-3', '7-3', '7-4', '7-5', '8-5', '9-5', '10-5', '10-6', '11-6', '11-7', '12-7', '13-7', '14-7', '15-7', '16-7', '16-8', '17-8', '18-8', '18-9', '18-10', '19-10', '20-10', '21-10']",4.0,3.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '4-2', '5-2', '6-2', '6-3', '7-3', '8-3', '9-3', '10-3', '10-4', '10-5', '10-6', '11-6', '12-6', '13-6', '13-7', '13-8', '14-8', '15-8', '16-8', '16-9', '16-10', '16-11', '17-11', '17-12', '18-12', '19-12', '20-12', '21-12']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,10-01-2018,HSBC BWF World Tour Super 300,WD,Round of 32,2,2,False,15-21,17-21,,Saranchana Chaikittiwat,Sanicha Chumnibannakarn,Yulfira Barkah,Yulfira Barkah,THA,THA,INA,INA,32,42,3,6,0,3,3,5,0,2,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '3-3', '3-4', '3-5', '4-5', '4-6', '4-7', '5-7', '5-8', '5-9', '6-9', '6-10', '7-10', '8-10', '8-11', '8-12', '8-13', '9-13', '9-14', '9-15', '10-15', '11-15', '12-15', '12-16', '12-17', '13-17', '13-18', '13-19', '14-19', '14-20', '15-20', '15-21']",3.0,6.0,0.0,1.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '5-7', '5-8', '5-9', '5-10', '6-10', '6-11', '7-11', '7-12', '8-12', '9-12', '10-12', '10-13', '11-13', '11-14', '11-15', '12-15', '12-16', '13-16', '13-17', '14-17', '14-18', '15-18', '16-18', '16-19', '17-19', '17-20', '17-21']",,,,,[]
