tournament,city,country,date,tournament_type,discipline,round,winner,nb_sets,retired,game_1_score,game_2_score,game_3_score,team_one_player_one,team_one_player_two,team_two_player_one,team_two_player_two,team_one_player_one_nationality,team_one_player_two_nationality,team_two_player_one_nationality,team_two_player_two_nationality,team_one_total_points,team_two_total_points,team_one_most_consecutive_points,team_two_most_consecutive_points,team_one_game_points,team_two_game_points,team_one_most_consecutive_points_game_1,team_two_most_consecutive_points_game_1,team_one_game_points_game_1,team_two_game_points_game_1,game_1_scores,team_one_most_consecutive_points_game_2,team_two_most_consecutive_points_game_2,team_one_game_points_game_2,team_two_game_points_game_2,game_2_scores,team_one_most_consecutive_points_game_3,team_two_most_consecutive_points_game_3,team_one_game_points_game_3,team_two_game_points_game_3,game_3_scores
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,XD,Qualification quarter final,1,2,False,21-8,21-14,,Shing Choi Yeung,Nga Ting Yeung,Apichasit Teerawiwat,Apichasit Teerawiwat,HKG,HKG,THA,THA,42,22,5,3,4,0,5,1,2,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '5-1', '6-1', '7-1', '7-2', '8-2', '8-3', '9-3', '10-3', '11-3', '12-3', '13-3', '13-4', '14-4', '15-4', '16-4', '16-5', '17-5', '18-5', '18-6', '19-6', '19-7', '20-7', '20-8', '21-8']",4.0,3.0,2.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '5-3', '5-4', '6-4', '6-5', '7-5', '8-5', '9-5', '9-6', '9-7', '9-8', '10-8', '11-8', '12-8', '13-8', '13-9', '13-10', '14-10', '15-10', '16-10', '16-11', '16-12', '16-13', '17-13', '18-13', '19-13', '20-13', '20-14', '21-14']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,XD,Qualification quarter final,2,2,False,17-21,18-21,,Chaloempon Charoenkitamorn,Rawimon Iamratanamaetheekul,Supak Jomkoh,Supak Jomkoh,THA,THA,THA,THA,35,42,4,5,0,5,4,5,0,4,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '5-6', '6-6', '6-7', '7-7', '8-7', '9-7', '10-7', '10-8', '10-9', '10-10', '11-10', '11-11', '11-12', '12-12', '12-13', '12-14', '12-15', '12-16', '12-17', '13-17', '13-18', '14-18', '14-19', '14-20', '15-20', '16-20', '17-20', '17-21']",4.0,4.0,0.0,1.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '5-2', '5-3', '5-4', '6-4', '7-4', '7-5', '8-5', '8-6', '8-7', '9-7', '9-8', '10-8', '10-9', '11-9', '11-10', '12-10', '12-11', '12-12', '13-12', '13-13', '13-14', '13-15', '14-15', '14-16', '14-17', '15-17', '16-17', '17-17', '18-17', '18-18', '18-19', '18-20', '18-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,XD,Qualification quarter final,2,2,False,21-23,16-21,,Pakin Kuna-Anuvit,Supisara Paewsampran,Parinyawat Thongnuam,Parinyawat Thongnuam,THA,THA,THA,THA,37,44,4,4,0,7,4,4,0,5,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '4-3', '4-4', '4-5', '5-5', '5-6', '5-7', '6-7', '7-7', '7-8', '7-9', '7-10', '7-11', '8-11', '8-12', '8-13', '9-13', '10-13', '11-13', '12-13', '12-14', '12-15', '13-15', '14-15', '14-16', '15-16', '16-16', '16-17', '17-17', '17-18', '17-19', '17-20', '18-20', '19-20', '20-20', '20-21', '21-21', '21-22', '21-23']",4.0,3.0,0.0,2.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '2-5', '2-6', '3-6', '3-7', '4-7', '4-8', '5-8', '6-8', '7-8', '8-8', '8-9', '8-10', '9-10', '10-10', '10-11', '10-12', '10-13', '11-13', '11-14', '12-14', '12-15', '12-16', '12-17', '13-17', '13-18', '14-18', '15-18', '15-19', '15-20', '16-20', '16-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,XD,Qualification quarter final,1,2,False,21-9,21-18,,Natchanon Tulamok,Natcha Saengchote,Charongrat Nobsamrong,Charongrat Nobsamrong,THA,THA,THA,THA,42,27,5,3,2,0,5,1,1,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '5-2', '6-2', '6-3', '7-3', '7-4', '8-4', '8-5', '9-5', '10-5', '11-5', '12-5', '12-6', '13-6', '13-7', '14-7', '15-7', '16-7', '17-7', '18-7', '18-8', '19-8', '19-9', '20-9', '21-9']",4.0,3.0,1.0,0.0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '3-3', '3-4', '4-4', '4-5', '4-6', '4-7', '5-7', '6-7', '6-8', '6-9', '7-9', '7-10', '7-11', '8-11', '9-11', '9-12', '10-12', '11-12', '12-12', '13-12', '13-13', '14-13', '14-14', '14-15', '14-16', '15-16', '15-17', '16-17', '17-17', '17-18', '18-18', '19-18', '20-18', '21-18']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,XD,Round of 32,2,2,False,15-21,16-21,,Vitalij Durkin,Nina Vislova,Bastian Kersaudy,Bastian Kersaudy,RUS,RUS,FRA,FRA,31,42,6,6,0,2,2,3,0,1,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '2-5', '3-5', '3-6', '4-6', '4-7', '5-7', '5-8', '5-9', '6-9', '6-10', '7-10', '7-11', '8-11', '8-12', '9-12', '10-12', '10-13', '10-14', '10-15', '11-15', '12-15', '12-16', '12-17', '13-17', '13-18', '13-19', '14-19', '15-19', '15-20', '15-21']",6.0,6.0,0.0,1.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '5-2', '6-2', '7-2', '7-3', '7-4', '7-5', '7-6', '7-7', '7-8', '8-8', '8-9', '9-9', '9-10', '10-10', '10-11', '11-11', '12-11', '13-11', '13-12', '13-13', '14-13', '14-14', '15-14', '15-15', '15-16', '15-17', '15-18', '16-18', '16-19', '16-20', '16-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,XD,Round of 32,2,2,False,18-21,13-21,,Chun Hei Tam,Lok Yan Poon,Akbar Bintang Cahyono,Akbar Bintang Cahyono,HKG,HKG,INA,INA,31,42,2,6,0,4,2,6,0,3,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '3-4', '3-5', '3-6', '3-7', '4-7', '5-7', '5-8', '6-8', '6-9', '7-9', '7-10', '8-10', '8-11', '9-11', '9-12', '9-13', '10-13', '11-13', '11-14', '12-14', '12-15', '12-16', '12-17', '13-17', '14-17', '14-18', '15-18', '15-19', '16-19', '16-20', '17-20', '18-20', '18-21']",2.0,5.0,0.0,1.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '4-2', '4-3', '5-3', '5-4', '5-5', '5-6', '6-6', '6-7', '7-7', '7-8', '7-9', '7-10', '7-11', '7-12', '8-12', '8-13', '8-14', '8-15', '9-15', '9-16', '10-16', '10-17', '11-17', '11-18', '12-18', '13-18', '13-19', '13-20', '13-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,XD,Round of 32,1,3,False,16-21,21-11,21-13,Rehan Naufal Kusharjanto,Siti Fadia Silva Ramadhanti,Mohamad Arif Abdul Latif,Mohamad Arif Abdul Latif,INA,INA,MAS,MAS,58,45,6,5,4,1,3,5,0,1,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '2-4', '3-4', '3-5', '3-6', '3-7', '3-8', '3-9', '4-9', '4-10', '5-10', '5-11', '6-11', '6-12', '7-12', '8-12', '9-12', '9-13', '10-13', '10-14', '11-14', '11-15', '12-15', '13-15', '13-16', '14-16', '15-16', '15-17', '15-18', '15-19', '16-19', '16-20', '16-21']",6.0,3.0,3.0,0.0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '4-2', '4-3', '5-3', '5-4', '6-4', '6-5', '7-5', '8-5', '8-6', '8-7', '9-7', '10-7', '11-7', '12-7', '13-7', '13-8', '14-8', '14-9', '15-9', '16-9', '17-9', '18-9', '19-9', '20-9', '20-10', '20-11', '21-11']",4.0,2.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '6-1', '7-1', '7-2', '7-3', '8-3', '9-3', '9-4', '10-4', '10-5', '11-5', '12-5', '13-5', '13-6', '13-7', '14-7', '14-8', '14-9', '15-9', '15-10', '16-10', '16-11', '16-12', '17-12', '18-12', '19-12', '19-13', '20-13', '21-13']"
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,XD,Round of 32,2,2,False,13-21,11-21,,Komandani Maytri Sugiarto,Maretha Dea Giovani,Tinn Isriyanet,Tinn Isriyanet,INA,INA,THA,THA,24,42,3,5,0,2,3,5,0,1,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '3-5', '3-6', '3-7', '4-7', '4-8', '4-9', '4-10', '5-10', '6-10', '7-10', '7-11', '8-11', '8-12', '8-13', '8-14', '9-14', '9-15', '10-15', '10-16', '11-16', '11-17', '11-18', '12-18', '12-19', '13-19', '13-20', '13-21']",1.0,5.0,0.0,1.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '2-4', '2-5', '3-5', '3-6', '4-6', '4-7', '5-7', '5-8', '6-8', '6-9', '6-10', '7-10', '7-11', '7-12', '8-12', '8-13', '8-14', '8-15', '8-16', '8-17', '9-17', '9-18', '10-18', '10-19', '11-19', '11-20', '11-21']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,XD,Round of 32,2,3,False,21-19,18-21,17-21,Richard Eidestedt,Clara Nistad,Yantoni Edy Saputra,Yantoni Edy Saputra,SWE,SWE,INA,INA,56,61,5,5,1,3,4,5,1,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '4-3', '5-3', '6-3', '7-3', '7-4', '8-4', '8-5', '8-6', '8-7', '8-8', '9-8', '10-8', '10-9', '11-9', '11-10', '11-11', '12-11', '12-12', '13-12', '13-13', '13-14', '13-15', '13-16', '13-17', '14-17', '15-17', '16-17', '17-17', '17-18', '17-19', '18-19', '19-19', '20-19', '21-19']",3.0,4.0,0.0,1.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '3-3', '3-4', '4-4', '4-5', '5-5', '5-6', '6-6', '6-7', '7-7', '7-8', '8-8', '9-8', '9-9', '10-9', '10-10', '10-11', '11-11', '11-12', '12-12', '13-12', '14-12', '14-13', '15-13', '15-14', '15-15', '16-15', '17-15', '17-16', '17-17', '18-17', '18-18', '18-19', '18-20', '18-21']",3.0,4.0,0.0,2.0,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '3-3', '4-3', '4-4', '4-5', '4-6', '5-6', '5-7', '5-8', '5-9', '5-10', '6-10', '7-10', '7-11', '7-12', '7-13', '8-13', '9-13', '10-13', '10-14', '11-14', '11-15', '12-15', '12-16', '13-16', '14-16', '15-16', '15-17', '16-17', '16-18', '16-19', '16-20', '17-20', '17-21']"
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,XD,Round of 32,1,2,False,21-10,21-14,,Ming Nok Yeung,Tsz Yau Ng,Yehezkiel Fritz Mainaky,Yehezkiel Fritz Mainaky,HKG,HKG,INA,INA,42,24,6,3,3,0,6,2,1,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '10-3', '10-4', '11-4', '11-5', '12-5', '12-6', '13-6', '13-7', '13-8', '14-8', '15-8', '15-9', '16-9', '16-10', '17-10', '18-10', '19-10', '20-10', '21-10']",6.0,3.0,2.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '5-3', '5-4', '5-5', '6-5', '6-6', '6-7', '6-8', '7-8', '8-8', '9-8', '9-9', '10-9', '11-9', '11-10', '11-11', '12-11', '13-11', '14-11', '14-12', '14-13', '15-13', '16-13', '17-13', '18-13', '19-13', '20-13', '20-14', '21-14']",,,,,[]
PRINCESS SIRIVANNAVARI Thailand Masters 2018,Bangkok,Thailand,09-01-2018,HSBC BWF World Tour Super 300,XD,Round of 32,1,3,False,14-21,21-11,21-8,Dechapol Puavaranukroh,Puttita Supajirakul,Wai Lun Ho,Wai Lun Ho,THA,THA,HKG,HKG,56,40,7,7,3,4,3,7,0,4,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '3-5', '4-5', '4-6', '4-7', '5-7', '5-8', '5-9', '6-9', '6-10', '6-11', '7-11', '8-11', '8-12', '9-12', '10-12', '10-13', '11-13', '11-14', '11-15', '11-16', '11-17', '11-18', '11-19', '11-20', '12-20', '13-20', '14-20', '14-21']",5.0,2.0,1.0,0.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2', '4-2', '5-2', '5-3', '6-3', '7-3', '8-3', '8-4', '8-5', '9-5', '9-6', '10-6', '11-6', '12-6', '12-7', '13-7', '13-8', '14-8', '15-8', '15-9', '16-9', '16-10', '17-10', '17-11', '18-11', '19-11', '20-11', '21-11']",7.0,1.0,2.0,0.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '6-4', '7-4', '8-4', '9-4', '10-4', '11-4', '11-5', '12-5', '13-5', '14-5', '15-5', '16-5', '17-5', '18-5', '18-6', '19-6', '19-7', '20-7', '20-8', '21-8']"
